smiles,idx
FCC1(CF)O[P-](CF)(CF)(CF)(CF)OC1(CF)CF,0
FCC1(CF)O[P-](F)(CF)(CF)(CF)OC1(CF)CF,1
FCC1(CF)O[P-](F)(F)(CF)(CF)OC1(CF)CF,2
FCC1(CF)O[P-](F)(F)(F)(CF)OC1(CF)CF,3
FCC1(CF)O[P-](C)(C)(C)(C)OC1(CF)CF,4
FCC1(CF)O[P-](F)(C)(C)(C)OC1(CF)CF,5
FCC1(CF)O[P-](F)(F)(C)(C)OC1(CF)CF,6
FCC1(CF)O[P-](F)(F)(F)(C)OC1(CF)CF,7
FCC1(CF)O[P-](C#N)(C#N)(C#N)(C#N)OC1(CF)CF,8
FCC1(CF)O[P-](F)(C#N)(C#N)(C#N)OC1(CF)CF,9
FCC1(CF)O[P-](F)(F)(C#N)(C#N)OC1(CF)CF,10
FCC1(CF)O[P-](F)(F)(F)(C#N)OC1(CF)CF,11
FCC1(CF)O[P-](N)(N)(N)(N)OC1(CF)CF,12
FCC1(CF)O[P-](F)(N)(N)(N)OC1(CF)CF,13
FCC1(CF)O[P-](F)(F)(N)(N)OC1(CF)CF,14
FCC1(CF)O[P-](F)(F)(F)(N)OC1(CF)CF,15
FCC1(CF)O[P-](N(=O)=O)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(CF)CF,16
FCC1(CF)O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(CF)CF,17
FCC1(CF)O[P-](F)(F)(N(=O)=O)(N(=O)=O)OC1(CF)CF,18
FCC1(CF)O[P-](F)(F)(F)(N(=O)=O)OC1(CF)CF,19
FCC1(CF)O[P-](F)(F)(=O)OC1(CF)CF,20
FCC1(CF)O[P-](=O)(=O)OC1(CF)CF,21
FCC1(CF)O[P-](O(CF))(O(CF))(O(CF))(O(CF))OC1(CF)CF,22
FCC1(CF)O[P-](F)(O(CF))(O(CF))(O(CF))OC1(CF)CF,23
FCC1(CF)O[P-](F)(F)(O(CF))(O(CF))OC1(CF)CF,24
FCC1(CF)O[P-](F)(F)(F)(O(CF))OC1(CF)CF,25
FCC1(CF)O[P-](O(C))(O(C))(O(C))(O(C))OC1(CF)CF,26
FCC1(CF)O[P-](F)(O(C))(O(C))(O(C))OC1(CF)CF,27
FCC1(CF)O[P-](F)(F)(O(C))(O(C))OC1(CF)CF,28
FCC1(CF)O[P-](F)(F)(F)(O(C))OC1(CF)CF,29
FCC1(CF)O[P-](F)(F)(F)(F)OC1(CF)CF,30
FCC1(CF)O[P-]2(CF)(CF)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,31
FCC1(CF)O[P-]2(C#N)(C#N)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,32
FCC1(CF)O[P-]2(F)(F)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,33
FCC1(CF)O[P-]2(F)(CF)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,34
FCC1(CF)O[P-]2(F)(C#N)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,35
FCC1(CF)O[P-]2(F)(N(=O)=O)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,36
FCC1(CF)O[P-]2(F)(O(CF))(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,37
FCC1(CF)O[P-]2(O(CF))(O(CF))(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,38
CC1(C)O[P-](CF)(CF)(CF)(CF)OC1(C)C,39
CC1(C)O[P-](F)(CF)(CF)(CF)OC1(C)C,40
CC1(C)O[P-](F)(F)(CF)(CF)OC1(C)C,41
CC1(C)O[P-](F)(F)(F)(CF)OC1(C)C,42
CC1(C)O[P-](C)(C)(C)(C)OC1(C)C,43
CC1(C)O[P-](F)(F)(C)(C)OC1(C)C,44
CC1(C)O[P-](F)(F)(F)(C)OC1(C)C,45
CC1(C)O[P-](C#N)(C#N)(C#N)(C#N)OC1(C)C,46
CC1(C)O[P-](F)(C#N)(C#N)(C#N)OC1(C)C,47
CC1(C)O[P-](F)(F)(C#N)(C#N)OC1(C)C,48
CC1(C)O[P-](F)(F)(F)(C#N)OC1(C)C,49
CC1(C)O[P-](N)(N)(N)(N)OC1(C)C,50
CC1(C)O[P-](F)(N)(N)(N)OC1(C)C,51
CC1(C)O[P-](F)(F)(N)(N)OC1(C)C,52
CC1(C)O[P-](F)(F)(F)(N)OC1(C)C,53
CC1(C)O[P-](N(=O)=O)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C)C,54
CC1(C)O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C)C,55
CC1(C)O[P-](F)(F)(N(=O)=O)(N(=O)=O)OC1(C)C,56
CC1(C)O[P-](F)(F)(F)(N(=O)=O)OC1(C)C,57
CC1(C)O[P-](F)(F)(=O)OC1(C)C,58
CC1(C)O[P-](=O)(=O)OC1(C)C,59
CC1(C)O[P-](F)(O(CF))(O(CF))(O(CF))OC1(C)C,60
CC1(C)O[P-](F)(F)(O(CF))(O(CF))OC1(C)C,61
CC1(C)O[P-](F)(F)(F)(O(CF))OC1(C)C,62
CC1(C)O[P-](O(C))(O(C))(O(C))(O(C))OC1(C)C,63
CC1(C)O[P-](F)(O(C))(O(C))(O(C))OC1(C)C,64
CC1(C)O[P-](F)(F)(O(C))(O(C))OC1(C)C,65
CC1(C)O[P-](F)(F)(F)(O(C))OC1(C)C,66
CC1(C)O[P-](F)(F)(F)(F)OC1(C)C,67
CC1(C)O[P-]2(CF)(CF)(OC1(C)C)OC(C)(C)C(C)(C)O2,68
CC1(C)O[P-]2(C#N)(C#N)(OC1(C)C)OC(C)(C)C(C)(C)O2,69
CC1(C)O[P-]2(F)(F)(OC1(C)C)OC(C)(C)C(C)(C)O2,70
CC1(C)O[P-]2(F)(CF)(OC1(C)C)OC(C)(C)C(C)(C)O2,71
CC1(C)O[P-]2(F)(C#N)(OC1(C)C)OC(C)(C)C(C)(C)O2,72
CC1(C)O[P-]2(F)(N(=O)=O)(OC1(C)C)OC(C)(C)C(C)(C)O2,73
CC1(C)O[P-]2(F)(O(CF))(OC1(C)C)OC(C)(C)C(C)(C)O2,74
CC1(C)O[P-]2(=O)(OC1(C)C)OC(C)(C)C(C)(C)O2,75
CC1(C)O[P-]2(O(CF))(O(CF))(OC1(C)C)OC(C)(C)C(C)(C)O2,76
N#CC1(C#N)O[P-](CF)(CF)(CF)(CF)OC1(C#N)C#N,77
N#CC1(C#N)O[P-](F)(CF)(CF)(CF)OC1(C#N)C#N,78
N#CC1(C#N)O[P-](F)(F)(CF)(CF)OC1(C#N)C#N,79
N#CC1(C#N)O[P-](F)(F)(F)(CF)OC1(C#N)C#N,80
N#CC1(C#N)O[P-](F)(C)(C)(C)OC1(C#N)C#N,81
N#CC1(C#N)O[P-](F)(F)(C)(C)OC1(C#N)C#N,82
N#CC1(C#N)O[P-](F)(F)(F)(C)OC1(C#N)C#N,83
N#CC1(C#N)O[P-](C#N)(C#N)(C#N)(C#N)OC1(C#N)C#N,84
N#CC1(C#N)O[P-](F)(C#N)(C#N)(C#N)OC1(C#N)C#N,85
N#CC1(C#N)O[P-](F)(F)(C#N)(C#N)OC1(C#N)C#N,86
N#CC1(C#N)O[P-](F)(F)(F)(C#N)OC1(C#N)C#N,87
N#CC1(C#N)O[P-](N)(N)(N)(N)OC1(C#N)C#N,88
N#CC1(C#N)O[P-](F)(N)(N)(N)OC1(C#N)C#N,89
N#CC1(C#N)O[P-](F)(F)(N)(N)OC1(C#N)C#N,90
N#CC1(C#N)O[P-](F)(F)(F)(N)OC1(C#N)C#N,91
N#CC1(C#N)O[P-](N(=O)=O)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C#N)C#N,92
N#CC1(C#N)O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C#N)C#N,93
N#CC1(C#N)O[P-](F)(F)(N(=O)=O)(N(=O)=O)OC1(C#N)C#N,94
N#CC1(C#N)O[P-](F)(F)(F)(N(=O)=O)OC1(C#N)C#N,95
N#CC1(C#N)O[P-](F)(F)(=O)OC1(C#N)C#N,96
N#CC1(C#N)O[P-](=O)(=O)OC1(C#N)C#N,97
N#CC1(C#N)O[P-](O(CF))(O(CF))(O(CF))(O(CF))OC1(C#N)C#N,98
N#CC1(C#N)O[P-](F)(O(CF))(O(CF))(O(CF))OC1(C#N)C#N,99
N#CC1(C#N)O[P-](F)(F)(O(CF))(O(CF))OC1(C#N)C#N,100
N#CC1(C#N)O[P-](F)(F)(F)(O(CF))OC1(C#N)C#N,101
N#CC1(C#N)O[P-](O(C))(O(C))(O(C))(O(C))OC1(C#N)C#N,102
N#CC1(C#N)O[P-](F)(O(C))(O(C))(O(C))OC1(C#N)C#N,103
N#CC1(C#N)O[P-](F)(F)(O(C))(O(C))OC1(C#N)C#N,104
N#CC1(C#N)O[P-](F)(F)(F)(O(C))OC1(C#N)C#N,105
N#CC1(C#N)O[P-](F)(F)(F)(F)OC1(C#N)C#N,106
N#CC1(C#N)O[P-]2(CF)(CF)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,107
N#CC1(C#N)O[P-]2(C#N)(C#N)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,108
