smiles,is_valid,anion_MW,charge,atom_number
O=[P-](=O)(C)F,True,97.0,-1,8
O=[P-](=O)(F)F,True,100.97,-1,5
O=[P-](=O)(C#N)F,True,107.99,-1,6
O=[P-](C)(C)(C)F,True,111.08,-1,15
O=[P-](=O)(O(C))F,True,113.0,-1,9
O=[P-](=O)(CF)F,True,115.0,-1,8
N#CP(=O)([O-])C#N,True,115.01,-1,7
O=[P-](C)(C)(F)F,True,115.04,-1,12
O=[P-](C)(F)(F)F,True,119.0,-1,9
COP(=O)([O-])C#N,True,120.02,-1,10
O=[P-](F)(F)(F)F,True,122.97,-1,6
N#COP(=O)([O-])F,True,123.99,-1,7
CCOP(=O)([O-])F,True,127.03,-1,12
O=[P-](=O)(N(=O)=O)F,True,127.97,-1,7
O=[P-](=O)(CF)CF,True,129.02,-1,11
F[P-](F)(C)(C)(C)C,True,129.11,-1,19
O=[P-](C#N)(F)(F)F,True,129.99,-1,7
O=[P-](=O)(O(CF))F,True,130.99,-1,9
O=[P-](=O)(C(F)F)F,True,132.99,-1,8
F[P-](F)(F)(C)(C)C,True,133.07,-1,16
CCOP(=O)([O-])C#N,True,134.05,-1,13
O=[P-](O(C))(F)(F)F,True,135.0,-1,10
O=[P-](CF)(F)(F)F,True,136.99,-1,9
O=[P-](C#N)(C#N)(F)F,True,137.0,-1,8
F[P-](F)(F)(F)(C)C,True,137.04,-1,13
C=CCOP(=O)([O-])F,True,139.04,-1,13
F[P-](F)(F)(F)(F)C,True,141.0,-1,10
CCCOP(=O)([O-])F,True,141.06,-1,15
CC(C)OP(=O)([O-])F,True,141.06,-1,15
O=[P-](C#N)(C#N)(C#N)F,True,144.03,-1,9
F[P-](F)(F)(F)(F)F,True,144.96,-1,7
N#COP(=O)([O-])OC#N,True,147.01,-1,9
O=[P-](O(C))(O(C))(F)F,True,147.04,-1,14
CCOP(=O)([O-])CC#N,True,148.08,-1,16
O=[P-](=O)(O(C(F)F))F,True,148.98,-1,9
O=[P-](N(=O)=O)(F)(F)F,True,149.97,-1,8
O=[P-](=O)(C(F)(F)F)F,True,150.97,-1,8
O=[P-](CF)(CF)(F)F,True,151.02,-1,12
O=[P-](C#N)(C#N)(C#N)C#N,True,151.05,-1,10
F[P-](F)(F)(F)(F)C#N,True,151.98,-1,8
O=[P-](O(CF))(F)(F)F,True,152.99,-1,10
O=[P-](C(F)F)(F)(F)F,True,154.98,-1,9
CCCCOP(=O)([O-])F,True,155.09,-1,18
F[P-](F)(F)(F)(F)O(C),True,157.0,-1,11
COCCOP(=O)([O-])F,True,157.06,-1,16
F[P-](F)(F)(F)(C#N)C#N,True,159.0,-1,9
O=[P-](=O)(O(CF))O(CF),True,161.02,-1,13
O=[P-](=O)(C(F)F)C(F)F,True,165.0,-1,11
O=[P-](CF)(CF)(CF)F,True,165.05,-1,15
F[P-](F)(F)(C#N)(C#N)C#N,True,166.02,-1,10
O=[P-](=O)(O(C(F)(F)F))F,True,166.97,-1,9
F[P-](F)(F)(F)(O(C))O(C),True,169.03,-1,15
O=[P-](O(C(F)F))(F)(F)F,True,170.98,-1,10
CCOCCOP(=O)([O-])F,True,171.08,-1,19
O=[P-](C(F)(F)F)(F)(F)F,True,172.97,-1,9
FC[P-](F)(F)(F)(F)CF,True,173.02,-1,13
N#C[P-](F)(F)(C#N)(C#N)C#N,True,173.04,-1,11
O=P([O-])(F)Oc1ccccc1,True,175.08,-1,16
O=[P-](N(=O)=O)(N(=O)=O)(F)F,True,176.98,-1,10
O=[P-](CF)(CF)(CF)CF,True,179.07,-1,18
F[P-](C#N)(C#N)(C#N)(C#N)C#N,True,180.06,-1,12
O=P([O-])(F)OCC(F)(F)F,True,181.0,-1,12
F[P-](F)(F)(O(C))(O(C))O(C),True,181.07,-1,19
O=P([O-])(F)OP(=O)(F)F,True,182.94,-1,9
O=[P-](O(CF))(O(CF))(F)F,True,183.02,-1,14
CCCCCCOP(=O)([O-])F,True,183.14,-1,24
O=[P-](C(F)F)(C(F)F)(F)F,True,187.0,-1,12
FC[P-](F)(F)(F)(CF)CF,True,187.04,-1,16
