smiles,ESPmin,ESPmax,dipole_moment,polarizability,idx
O=[P-](=O)(C)F,-154.44984,-52.2394,6.219088,45.2467,0
O=[P-](=O)(F)F,-136.02051,-95.59406,2.902482,27.2347,1
O=[P-](=O)(C#N)F,-126.50601,-84.309,2.200574,45.9586,2
O=[P-](C)(C)(C)F,-184.52338,-50.69469,8.664862,84.7544,3
O=[P-](=O)(O(C))F,-146.17689,-39.07953,5.986516,46.9216,4
O=[P-](=O)(CF)F,-155.38057,-30.84557,9.154557,59.754333,5
N#CP(=O)([O-])C#N,-119.48404,-70.05565,1.24958,64.8267,6
O=[P-](C)(C)(F)F,-168.83225,-50.59262,7.06526,64.2397,7
O=[P-](C)(F)(F)F,-151.67481,-49.52784,5.833965,43.7346,8
COP(=O)([O-])C#N,-137.4716,-34.35416,6.549867,66.345,9
O=[P-](F)(F)(F)F,-140.83543,-95.19413,2.870593,27.0975,10
N#COP(=O)([O-])F,-126.33221,-67.35952,2.382575,49.157,11
CCOP(=O)([O-])F,-148.34378,-31.56142,9.222316,63.198333,12
O=[P-](=O)(N(=O)=O)F,-129.61872,-72.96971,2.19961,48.562,13
O=[P-](=O)(CF)CF,-156.544,-40.34685,8.272202,62.315333,14
F[P-](F)(C)(C)(C)C,-159.8649,-61.57259,5.387524,104.546423,15
O=[P-](C#N)(F)(F)F,-130.63994,-75.27438,2.481749,43.8071,16
O=[P-](=O)(O(CF))F,-137.41625,-45.89133,5.43254,46.257333,17
O=[P-](=O)(C(F)F)F,-140.09084,-39.53513,6.300812,43.654,18
F[P-](F)(F)(C)(C)C,-161.79277,-58.0638,5.761373,81.8616,19
CCOP(=O)([O-])C#N,-144.74262,-36.94668,7.886953,80.898667,20
O=[P-](O(C))(F)(F)F,-151.05372,-39.1498,6.619176,45.9467,21
O=[P-](CF)(F)(F)F,-142.89062,-52.06618,4.065514,43.913667,22
O=[P-](C#N)(C#N)(F)F,-120.00576,-68.38347,2.483354,60.7968,23
F[P-](F)(F)(F)(C)C,-147.13386,-56.2637,4.574918,60.4563,24
C=CCOP(=O)([O-])F,-147.08203,-24.57077,10.766211,77.372667,25
F[P-](F)(F)(F)(F)C,-133.87282,-61.37791,3.410825,41.2807,26
CCCOP(=O)([O-])F,-148.71009,-31.71285,10.362587,79.79,27
CC(C)OP(=O)([O-])F,-148.41687,-28.64237,11.531821,78.774667,28
O=[P-](C#N)(C#N)(C#N)F,-118.86886,-59.53157,1.556551,80.8261,29
F[P-](F)(F)(F)(F)F,-118.73556,-105.86898,0,24.1165,30
N#COP(=O)([O-])OC#N,-113.61971,-55.07444,3.3646,71.285667,31
O=[P-](O(C))(O(C))(F)F,-160.03427,-44.66918,7.399049,66.3236,32
CCOP(=O)([O-])CC#N,-138.66515,-29.17343,8.994778,82.806,33
O=[P-](=O)(O(C(F)F))F,-132.5416,-43.90579,6.166784,45.856333,34
O=[P-](N(=O)=O)(F)(F)F,-140.98205,-80.5365,2.850501,46.828,35
