smiles,ESPmin,ESPmax,dipole_moment,polarizability,idx,Cluster,PCA1,PCA2
O=[P-](=O)(C)F,-154.44984,-52.2394,6.219088,45.2467,0,0,-2.239912259260993,-0.557860240518838
O=[P-](=O)(F)F,-136.02051,-95.59406,2.902482,27.2347,1,3,-3.32383094794655,1.1583544806338868
O=[P-](=O)(C#N)F,-126.50601,-84.309,2.200574,45.9586,2,3,-2.603126513595306,1.2900916368159934
O=[P-](C)(C)(C)F,-184.52338,-50.69469,8.664862,84.7544,3,0,-2.4040541123312633,-1.989282785782158
O=[P-](=O)(O(C))F,-146.17689,-39.07953,5.986516,46.9216,4,0,-1.6654102565404385,-0.4717517499949354
O=[P-](=O)(CF)F,-155.38057,-30.84557,9.154557,59.754333,5,0,-1.47950475923312,-1.068398321858651
N#CP(=O)([O-])C#N,-119.48404,-70.05565,1.24958,64.8267,6,3,-1.844708989305196,1.2542654764964256
O=[P-](C)(C)(F)F,-168.83225,-50.59262,7.06526,64.2397,7,0,-2.2906604452627994,-1.2610105378068968
O=[P-](C)(F)(F)F,-151.67481,-49.52784,5.833965,43.7346,8,0,-2.1187301360493103,-0.4890710939526587
COP(=O)([O-])C#N,-137.4716,-34.35416,6.549867,66.345,9,0,-1.1472102684072056,-0.24437152303235718
O=[P-](F)(F)(F)F,-140.83543,-95.19413,2.870593,27.0975,10,3,-3.412299275561193,0.9433975241273715
N#COP(=O)([O-])F,-126.33221,-67.35952,2.382575,49.157,11,3,-2.0675766231166066,0.9470401261308643
CCOP(=O)([O-])F,-148.34378,-31.56142,9.222316,63.198333,12,0,-1.3206131783125101,-0.7602804475293987
O=[P-](=O)(N(=O)=O)F,-129.61872,-72.96971,2.19961,48.562,13,3,-2.306331811969809,0.9203576212654153
O=[P-](=O)(CF)CF,-156.544,-40.34685,8.272202,62.315333,14,0,-1.7566709358129424,-0.933636371861575
F[P-](F)(C)(C)(C)C,-159.8649,-61.57259,5.387524,104.546423,15,0,-2.013960814852856,-0.7613842711552906
