PCA1,PCA2,Cluster,idx,smiles
-2.239912259260993,-0.557860240518838,0,0,O=[P-](=O)(C)F
-3.32383094794655,1.1583544806338868,3,1,O=[P-](=O)(F)F
-2.603126513595306,1.2900916368159934,3,2,O=[P-](=O)(C#N)F
-2.4040541123312633,-1.989282785782158,0,3,O=[P-](C)(C)(C)F
-1.6654102565404385,-0.4717517499949354,0,4,O=[P-](=O)(O(C))F
-1.47950475923312,-1.068398321858651,0,5,O=[P-](=O)(CF)F
-1.844708989305196,1.2542654764964256,3,6,N#CP(=O)([O-])C#N
-2.2906604452627994,-1.2610105378068968,0,7,O=[P-](C)(C)(F)F
-2.1187301360493103,-0.4890710939526587,0,8,O=[P-](C)(F)(F)F
-1.1472102684072056,-0.24437152303235718,0,9,COP(=O)([O-])C#N
-3.412299275561193,0.9433975241273715,3,10,O=[P-](F)(F)(F)F
-2.0675766231166066,0.9470401261308643,3,11,N#COP(=O)([O-])F
-1.3206131783125101,-0.7602804475293987,0,12,CCOP(=O)([O-])F
-2.306331811969809,0.9203576212654153,3,13,O=[P-](=O)(N(=O)=O)F
-1.7566709358129424,-0.933636371861575,0,14,O=[P-](=O)(CF)CF
-2.013960814852856,-0.7613842711552906,0,15,F[P-](F)(C)(C)(C)C
-2.4442016996668294,0.9356271336909465,3,16,O=[P-](C#N)(F)(F)F
-1.692986668823951,0.04455692556191349,0,17,O=[P-](=O)(O(CF))F
-1.5876217963684776,-0.19184216364687715,0,18,O=[P-](=O)(C(F)F)F
-2.184297509243574,-0.8544354264549001,0,19,F[P-](F)(F)(C)(C)C
-1.2226044765994881,-0.5440009607891476,0,20,CCOP(=O)([O-])C#N
-1.7776351067202862,-0.6776444172265723,0,21,O=[P-](O(C))(F)(F)F
-2.0113138079514328,-0.060227100040615544,0,22,O=[P-](CF)(F)(F)F
-1.8477702281808177,1.2088584252231254,3,23,O=[P-](C#N)(C#N)(F)F
-2.0512905905814534,-0.2024696350256075,0,24,F[P-](F)(F)(F)(C)C
-0.9426639377341974,-0.8849554762293871,0,25,C=CCOP(=O)([O-])F
-2.1275214482192397,0.5228592445565964,3,26,F[P-](F)(F)(F)(F)C
-1.1613957560381363,-0.8174075963453203,0,27,CCCOP(=O)([O-])F
-1.0754608087108724,-0.8640177857913408,0,28,CC(C)OP(=O)([O-])F
-1.3571776491354275,1.0255835870039414,3,29,O=[P-](C#N)(C#N)(C#N)F
-3.3037174515911523,2.1180273934617433,3,30,F[P-](F)(F)(F)(F)F
-1.2166626195536607,1.1871426176006157,3,31,N#COP(=O)([O-])OC#N
-1.9141977483507568,-1.0073959543771853,0,32,O=[P-](O(C))(O(C))(F)F
-0.8493449825687961,-0.44433796043158125,0,33,CCOP(=O)([O-])CC#N
-1.5386189270939103,0.2153966861828526,0,34,O=[P-](=O)(O(C(F)F))F
-2.7802172161874963,0.5885384914744279,3,35,O=[P-](N(=O)=O)(F)(F)F
-2.282408123879641,0.7331421189566574,3,36,O=[P-](=O)(C(F)(F)F)F
-1.9882592285548921,-0.3604835135765432,0,37,O=[P-](CF)(CF)(F)F
-0.6689698991377676,1.0001035979391042,3,38,O=[P-](C#N)(C#N)(C#N)C#N
-2.725562959518442,2.3193181849951627,3,39,F[P-](F)(F)(F)(F)C#N
-1.4793117900483794,-0.5149226529156482,0,40,O=[P-](O(CF))(F)(F)F
-1.7528323980479403,-0.23977049559264657,0,41,O=[P-](C(F)F)(F)(F)F
-0.8147983185283082,-0.9806699783434283,0,42,CCCCOP(=O)([O-])F
-1.5960755097514396,0.33985243283544786,0,43,F[P-](F)(F)(F)(F)O(C)
-0.801321873614556,-0.9297992287785976,0,44,COCCOP(=O)([O-])F
-2.017850086731885,2.34967810154835,3,45,F[P-](F)(F)(F)(C#N)C#N
-1.5828358697729221,0.07413669653524829,0,46,O=[P-](=O)(O(CF))O(CF)
-1.5736030442967661,-0.3949422805920906,0,47,O=[P-](=O)(C(F)F)C(F)F
-1.933407619631763,-0.8619567490214259,0,48,O=[P-](CF)(CF)(CF)F
-1.3859321907972235,2.20920081326673,3,49,F[P-](F)(F)(C#N)(C#N)C#N
-2.0109394166990398,0.6824945038588143,3,50,O=[P-](=O)(O(C(F)(F)F))F
-1.6198565114586216,-0.16803799609027098,0,51,F[P-](F)(F)(F)(O(C))O(C)
-1.7901069239533112,0.22364998869709776,0,52,O=[P-](O(C(F)F))(F)(F)F
-0.5011320826700146,-1.0748326761003504,0,53,CCOCCOP(=O)([O-])F
-2.452246479278972,0.6290616700335752,3,54,O=[P-](C(F)(F)F)(F)(F)F
-1.938977861349462,0.5525548994351049,3,55,FC[P-](F)(F)(F)(F)CF
-0.9102262243015881,2.1681733119140647,3,56,N#C[P-](F)(F)(C#N)(C#N)C#N
-0.37910920027448214,-0.8721789300543,2,57,O=P([O-])(F)Oc1ccccc1
-1.9005125497424697,0.6189963081919292,3,58,O=[P-](N(=O)=O)(N(=O)=O)(F)F
-1.7007526439691134,-0.9123422538608551,0,59,O=[P-](CF)(CF)(CF)CF
-0.43929604748711704,2.116358604763863,3,60,F[P-](C#N)(C#N)(C#N)(C#N)C#N
-1.1171986798829705,-0.5247988945442417,0,61,O=P([O-])(F)OCC(F)(F)F
-1.5083897449950194,-0.4566248193326444,0,62,F[P-](F)(F)(O(C))(O(C))O(C)
-1.40276323623748,0.42073834543582134,0,63,O=P([O-])(F)OP(=O)(F)F
-1.4762230521631605,-0.8194601439459888,0,64,O=[P-](O(CF))(O(CF))(F)F
-0.3736719195068547,-1.0831049706271303,2,65,CCCCCCOP(=O)([O-])F
-1.3372391460522723,-0.7634278025877456,0,66,O=[P-](C(F)F)(C(F)F)(F)F
-1.431102567996639,-0.13540962894612324,0,67,FC[P-](F)(F)(F)(CF)CF
-1.9755876434359174,0.7014882582296528,3,68,O=[P-](O(C(F)(F)F))(F)(F)F
-1.5722611057194547,0.7738313721134552,3,69,O=P([O-])(ON=NF)ON=NF
-0.09707462859282598,-1.134576689596699,2,70,O=P([O-])(F)OCc1ccccc1
-1.2559325775036554,-0.8497059279638582,0,71,COP(=O)([O-])OCC(F)(F)F
-1.6187016195139967,-0.9409281856018605,0,72,F[P-](F)(O(C))(O(C))(O(C))O(C)
0.31777090442235445,-0.8403752814114038,2,73,N#CP(=O)([O-])OCc1ccccc1
-1.2046829360736229,0.16338616994296584,0,74,O=[P-](=O)(O(C(F)F))O(C(F)F)
-0.9030696161765366,0.17499110670070844,0,75,O=P([O-])(F)OOP(=O)(F)F
0.06299398395844936,-0.6509828099431636,2,76,N#CCCOP(=O)([O-])n1ccnc1
-2.0121615289407466,0.7169786466600594,3,77,O=[P-](=O)(C(F)(F)F)C(F)(F)F
-1.6783560960876265,-0.029445345788943676,0,78,FC[P-](F)(F)(CF)(CF)CF
-0.7323142360335186,-1.5035941057681226,2,79,CC1(C)O[P-](F)(F)(=O)OC1(C)C
0.2160320684152655,-1.2535381720029775,2,80,N#CCCOP(=O)([O-])OCCC#N
-1.3034394216809058,1.057006574186334,3,81,O=[P-](N(=O)=O)(N(=O)=O)(N(=O)=O)F
-1.1427355007398081,0.5214162852031243,0,82,C(F)O[P-](F)(F)(F)(F)O(CF)
-1.4649921430070565,-0.9287432900854312,0,83,F[P-](O(C))(O(C))(O(C))(O(C))O(C)
-0.9852545140536928,-0.6450204863948341,0,84,CCOP(=O)([O-])OCC(F)(F)F
-1.4882170659185472,0.6449015989368656,3,85,FC(F)[P-](F)(F)(F)(F)C(F)F
-1.2258373021917133,-0.49009708961355697,0,86,O=[P-](O(CF))(O(CF))(O(CF))F
-0.7127549212095478,0.46895202166495553,0,87,FC[P-](F)(CF)(CF)(CF)CF
