smiles,ESPmin,ESPmax,dipole_moment,polarizability,idx,Cluster,PCA1,PCA2,functionalgroupscorer,F_count,O_ether_count,NO2_count,CN_count,oxo_or_anion_count,H_count,scscore
O=P([O-])(F)Oc1ccccc1,-143.2104,-22.31504,12.791002,117.853333,57,2,-0.3791092002744821,-0.8721789300543,0.5,1,1,0,0,2,5,3.0821413629552152
CCCCCCOP(=O)([O-])F,-147.41374,-21.82037,17.074811,125.330333,65,2,-0.3736719195068547,-1.0831049706271303,-7.5,1,1,0,0,2,13,2.3867693547557502
O=P([O-])(F)OCc1ccccc1,-145.67092,-16.71512,15.815585,134.104333,70,2,-0.0970746285928259,-1.134576689596699,-1.5,1,1,0,0,2,7,3.144153844360907
N#CP(=O)([O-])OCc1ccccc1,-137.07262,-15.59331,16.165843,154.005333,73,2,0.3177709044223544,-0.8403752814114038,-1.5,0,1,0,1,2,7,3.246374792192902
N#CCCOP(=O)([O-])n1ccnc1,-135.70466,-20.14945,6.669333,139.591333,76,2,0.0629939839584493,-0.6509828099431636,-1.5,0,1,0,1,2,7,2.5366679930367875
CC1(C)O[P-](F)(F)(=O)OC1(C)C,-159.28165,-26.64632,13.252097,127.949,79,2,-0.7323142360335186,-1.5035941057681226,-7.0,2,2,0,0,1,12,3.0951716533948685
N#CCCOP(=O)([O-])OCCC#N,-143.58527,-5.65999,10.96423,128.758667,80,2,0.2160320684152655,-1.2535381720029777,-1.0,0,2,0,2,2,8,3.179875031592094
CC1(C)O[P-](F)(F)(C)(C)OC1(C)C,-133.15418,-41.16115,5.516522,167.508,88,2,-0.2151816563942029,-0.1920004273195501,-15.0,2,2,0,0,0,18,3.4798822657713115
COCCOCCOOP(=O)([O-])F,-144.32301,-10.76885,22.049492,124.663667,89,2,0.0082360335177448,-1.1712559360473085,-4.0,1,4,0,0,2,11,2.937849251862784
CC1(C)O[P-](F)(F)(F)(C)OC1(C)C,-147.25449,-35.34533,8.495447,144.566,92,2,-0.5700941551235184,-0.8548647499228615,-11.0,3,2,0,0,0,15,2.8718915300712817
CC1(C)O[P-](F)(F)(F)(C#N)OC1(C)C,-127.40016,-25.71147,12.971972,141.908,98,2,0.0936054505212535,-0.1875035795231382,-7.0,3,2,0,1,0,12,2.8231477355994183
CC1(C)O[P-](F)(F)(F)(O(C))OC1(C)C,-145.29898,-34.40773,7.176172,145.529,102,2,-0.4924186459645734,-0.7921858109596264,-10.5,3,3,0,0,0,15,3.1665886773450778
CC1(C)O[P-](F)(F)(F)(CF)OC1(C)C,-147.66605,-29.1783,11.988072,142.582,103,2,-0.4174592505052396,-0.991694336407977,-9.0,4,2,0,0,0,14,2.983574780113577
CCCCCCCCCCOP(=O)([O-])F,-147.64705,-16.1049,26.127731,188.203667,105,2,0.4385303065781573,-1.3767700560073677,-15.5,1,1,0,0,2,21,2.3867693547557502
COCCOCCOCCOP(=O)([O-])F,-145.74484,-7.08064,28.203561,151.234,111,2,0.3617858593908028,-1.3779976523130015,-8.0,1,4,0,0,2,15,3.3063583403042123
CCC(C)(C)c1ccc(OP(=O)([O-])F)cc1,-146.23848,-20.24317,20.414478,202.360333,112,2,0.4916827846005316,-1.2705422265728192,-9.5,1,1,0,0,2,15,2.219407847238101
CC1(C)O[P-](F)(F)(O(C))(O(C))OC1(C)C,-149.11589,-36.90152,5.547826,167.879,113,2,-0.4135675190436911,-0.9659974245431874,-14.0,2,4,0,0,0,18,3.193481252726385
CC1(C)O[P-](F)(F)(F)(N(=O)=O)OC1(C)C,-139.10729,-24.49584,11.464165,144.563667,114,2,-0.0834950170282648,-0.7230652938788871,-7.5,3,2,1,0,0,12,2.7200640530027447
FCC1(CF)O[P-](=O)(=O)OC1(CF)CF,-147.28726,-4.99548,14.485406,120.312333,116,2,0.072461509633919,-1.4036848705557008,1.0,4,2,0,0,2,8,2.715165460080758
CC1(C)O[P-](F)(F)(CF)(CF)OC1(C)C,-128.78568,-34.94895,7.5812,162.021,117,2,0.0007496893256559,-0.1146092960682814,-11.0,4,2,0,0,0,16,2.685506345706413
CC1(C)O[P-](F)(F)(F)(O(CF))OC1(C)C,-142.13111,-32.41732,8.246505,144.644,119,2,-0.3779331839345762,-0.6936159737834753,-8.5,4,3,0,0,0,14,2.7478758118008817
CC1(C)O[P-](F)(F)(F)(C(F)F)OC1(C)C,-139.77418,-28.98507,10.517242,143.497333,121,2,-0.2403453811674638,-0.6583424832287726,-7.0,5,2,0,0,0,13,2.9343632688619907
CC1(C)O[P-](F)(O(C))(O(C))(O(C))OC1(C)C,-156.46451,-39.69907,4.323146,191.432,124,2,-0.4037346884594159,-1.2889210634354802,-17.5,1,5,0,0,0,21,3.401076504272584
CC1(C)O[P-](F)(CF)(CF)(CF)OC1(C)C,-153.5863,-29.31492,11.989812,182.296667,129,2,-0.1332159185810367,-1.3500849835538271,-13.0,4,2,0,0,0,18,2.9838718237985975
