rank,smiles,idx,ESPmin,ESPmax,polarizability,dipole_moment,functionalgroupscorer,scscore,total_score
1,FC(F)(F)C1(C(F)(F)F)O[P-]2(=O)(OC1(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2,334,-125.8031,-40.0000,203.3460,6.4527,28.0000,3.2380,6.4622
2,O=P([O-])(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,248,-140.1699,-19.4641,117.5263,9.2139,15.0000,3.0278,5.3531
3,COCCOCCOCCOP(=O)([O-])F,111,-145.7448,-7.0806,151.2340,28.2036,-8.0000,3.3064,5.3013
4,FC(F)C1(C(F)F)O[P-]2(=O)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,320,-142.7265,-6.3180,205.8923,10.0646,12.0000,2.5676,5.2526
5,FC(F)C1(C(F)F)O[P-](=O)(=O)OC1(C(F)F)C(F)F,188,-145.6794,-4.9941,115.8417,16.0105,9.0000,2.8656,5.2437
6,FCC1(CF)O[P-](N(=O)=O)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(CF)CF,253,-143.5829,20.9494,228.6703,17.1889,-1.0000,2.6282,5.2150
7,FC(F)C1(C(F)F)O[P-](C(F)F)(C(F)F)(C(F)F)(C(F)F)OC1(C(F)F)C(F)F,311,-122.5526,-16.2127,180.1590,5.8003,9.0000,3.1991,5.0597
8,FC(F)C1(C(F)F)O[P-](F)(C(F)F)(C(F)F)(C(F)F)OC1(C(F)F)C(F)F,296,-131.7693,-9.0772,162.2010,8.0438,9.0000,2.9602,4.9845
9,FC(F)C1(C(F)F)O[P-](F)(F)(F)(C(F)F)OC1(C(F)F)C(F)F,250,-128.9994,2.9491,128.0657,11.0879,9.0000,2.9359,4.9684
10,FC(F)C1(C(F)F)O[P-](F)(F)(F)(N(=O)=O)OC1(C(F)F)C(F)F,243,-128.7005,-0.2610,132.5007,12.3347,8.5000,2.9279,4.9365
11,N#CP(=O)([O-])OCc1ccccc1,73,-137.0726,-15.5933,154.0053,16.1658,-1.5000,3.2464,4.9182
12,O=P([O-])(F)OCc1ccccc1,70,-145.6709,-16.7151,134.1043,15.8156,-1.5000,3.1442,4.8036
13,N#CCCOP(=O)([O-])OCCC#N,80,-143.5853,-5.6600,128.7587,10.9642,-1.0000,3.1799,4.7996
14,FC(F)(F)C1(C(F)(F)F)O[P-](O(C))(O(C))(O(C))(O(C))OC1(C(F)(F)F)C(F)(F)F,307,-137.6267,-38.9000,196.6000,2.3672,3.0000,3.3397,4.7988
15,CC1(C)O[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))(O(C(F)F))OC1(C)C,258,-148.5559,-3.7877,198.9177,8.5385,-5.0000,3.0559,4.7950
16,N#CC1(C#N)O[P-](F)(C(F)F)(C(F)F)(C(F)F)OC1(C#N)C#N,225,-137.1084,-34.1501,176.8537,7.6737,9.0000,2.9121,4.7234
17,FC(F)C1(C(F)F)O[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))(O(C(F)F))OC1(C(F)F)C(F)F,319,-126.9083,-9.5259,187.9920,2.9248,11.0000,2.7034,4.5738
18,FC(F)(F)C1(C(F)(F)F)O[P-](F)(O(C))(O(C))(O(C))OC1(C(F)(F)F)C(F)(F)F,304,-133.7786,-43.1820,174.4570,3.9394,6.5000,3.1713,4.5624
19,COCCOCCOOP(=O)([O-])F,89,-144.3230,-10.7689,124.6637,22.0495,-4.0000,2.9378,4.5258
20,FCC1(CF)O[P-]2(C#N)(C#N)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,292,-128.5548,-4.7031,249.2277,17.0950,-4.0000,2.7346,4.5216
21,O=P([O-])(F)Oc1ccccc1,57,-143.2104,-22.3150,117.8533,12.7910,0.5000,3.0821,4.4927
22,FC(F)C1(C(F)F)O[P-](F)(F)(C)(C)OC1(C(F)F)C(F)F,221,-135.9022,-16.2746,152.6543,7.3754,1.0000,3.1009,4.4923
23,FCC1(CF)O[P-]2(F)(N(=O)=O)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,301,-140.6777,-18.0370,232.2443,10.8227,-4.5000,2.8839,4.4506
24,FCC1(CF)O[P-](=O)(=O)OC1(CF)CF,116,-147.2873,-4.9955,120.3123,14.4854,1.0000,2.7152,4.3974
25,FCC1(CF)O[P-]2(F)(F)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,281,-145.0669,-0.8834,211.0437,8.5358,-4.0000,2.7215,4.3802
26,FC(F)C1(C(F)F)O[P-](F)(F)(F)(C)OC1(C(F)F)C(F)F,223,-140.2454,-11.7602,130.4207,9.6423,5.0000,2.7512,4.3656
27,CC1(C)O[P-](F)(F)(=O)OC1(C)C,79,-159.2817,-26.6463,127.9490,13.2521,-7.0000,3.0952,4.3343
28,FC(F)C1(C(F)F)O[P-](F)(F)(=O)OC1(C(F)F)C(F)F,209,-146.2414,-10.4741,115.0980,14.0297,9.0000,2.3751,4.3121
29,N#CC1(C#N)O[P-](F)(O(C))(O(C))(O(C))OC1(C#N)C#N,165,-124.8479,-32.4605,189.9470,7.0990,-1.5000,3.2609,4.2641
30,FCC1(CF)O[P-]2(F)(O(CF))(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,305,-148.0351,-2.1944,232.1460,8.4460,-5.5000,2.5934,4.2426
31,N#CC1(C#N)O[P-](O(C))(O(C))(O(C))(O(C))OC1(C#N)C#N,176,-125.0324,-32.2281,213.3600,8.7306,-5.0000,3.2768,4.2400
32,FCC1(CF)O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(CF)CF,234,-133.8511,-24.1198,202.2407,7.7346,-0.5000,2.9100,4.2318
33,CC1(C)O[P-](F)(F)(O(C(F)(F)F))(O(C(F)(F)F))OC1(C)C,217,-141.8754,-1.0235,155.3920,10.8765,-2.0000,2.7417,4.2248
34,FCC1(CF)O[P-](O(CF))(O(CF))(O(CF))(O(CF))OC1(CF)CF,259,-156.6481,-18.3597,199.0543,7.0353,-5.0000,2.7462,4.2120
35,CC1(C)O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C)C,166,-125.6332,-13.2340,194.7167,14.2774,-8.5000,3.1476,4.1725
36,FCC1(CF)O[P-](F)(F)(F)(N(=O)=O)OC1(CF)CF,186,-136.3962,-6.7135,136.4443,13.8101,0.5000,2.7254,4.1649
37,C(F)O[P-](F)(O(CF))(O(CF))(O(CF))O(CF),156,-139.5528,-13.7299,115.8437,12.2099,-1.5000,2.9498,4.1402
38,FC(F)C1(C(F)F)O[P-](F)(C)(C)(C)OC1(C(F)F)C(F)F,219,-143.2237,-21.8892,175.6693,6.5468,-3.0000,2.9398,4.1303
39,FCC1(CF)O[P-]2(CF)(CF)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,302,-144.2731,-5.5839,251.1323,4.4727,-8.0000,2.7512,4.1250
40,FCC1(CF)O[P-]2(F)(CF)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,291,-150.0956,0.0853,230.0610,8.9410,-6.0000,2.4431,4.0562
41,FCC1(CF)O[P-](F)(F)(=O)OC1(CF)CF,136,-155.5114,-13.5410,119.3763,14.7730,1.0000,2.4336,4.0188
42,FCC1(CF)O[P-]2(F)(C#N)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,286,-132.9177,-20.1006,229.7783,12.6810,-4.0000,2.6313,3.9272
43,FCC1(CF)O[P-](F)(O(C))(O(C))(O(C))OC1(CF)CF,200,-148.6814,-11.4862,181.4313,7.2058,-9.5000,2.8755,3.8828
44,CC1(C)O[P-](F)(F)(N(=O)=O)(N(=O)=O)OC1(C)C,140,-128.2409,-17.1923,167.3427,13.9122,-8.0000,3.0341,3.8432
45,CC1(C)O[P-]2(F)(N(=O)=O)(OC1(C)C)OC(C)(C)C(C)(C)O2,197,-154.2856,-28.7217,250.4447,11.6002,-20.5000,3.0832,3.8398
46,CC1(C)O[P-](F)(F)(O(C(F)F))(O(C(F)F))OC1(C)C,182,-140.6604,-26.6678,162.1870,8.7314,-6.0000,2.9738,3.8166
47,CC1(C)O[P-](F)(CF)(CF)(CF)OC1(C)C,129,-153.5863,-29.3149,182.2967,11.9898,-13.0000,2.9839,3.8152
48,CC1(C)O[P-](F)(O(C))(O(C))(O(C))OC1(C)C,124,-156.4645,-39.6991,191.4320,4.3231,-17.5000,3.4011,3.7991
49,FCC1(CF)O[P-](F)(F)(F)(C#N)OC1(CF)CF,164,-128.4106,-12.6056,133.0497,13.7137,1.0000,2.6570,3.7872
50,CC1(C)O[P-](F)(F)(F)(O(C(F)F))OC1(C)C,133,-139.7742,-28.9851,143.4973,10.5172,-6.5000,3.0450,3.7843
51,FCC1(CF)O[P-](F)(O(CF))(O(CF))(O(CF))OC1(CF)CF,237,-147.8107,-18.0733,176.1213,11.6862,-3.5000,2.4993,3.7636
52,FCC1(CF)O[P-]2(O(CF))(O(CF))(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,313,-144.4756,-17.4825,252.3867,6.9566,-7.0000,2.5094,3.7416
53,CC1(C)O[P-](F)(F)(F)(CF)OC1(C)C,103,-147.6661,-29.1783,142.5820,11.9881,-9.0000,2.9836,3.7308
54,FC(F)C1(C(F)F)O[P-](F)(F)(O(C))(O(C))OC1(C(F)F)C(F)F,242,-131.0535,-40.8059,153.2410,4.1248,2.0000,2.9255,3.6707
55,CC1(C)O[P-]2(O(C(F)F))(O(C(F)F))(OC1(C)C)OC(C)(C)C(C)(C)O2,249,-146.2005,-31.2299,268.9563,8.2276,-19.0000,3.0432,3.6468
56,CC1(C)O[P-](F)(O(C(F)F))(O(C(F)F))(O(C(F)F))OC1(C)C,230,-129.2482,-28.0022,181.8133,6.1271,-5.5000,3.0119,3.6465
57,CC1(C)O[P-]2(O(C(F)(F)F))(O(C(F)(F)F))(OC1(C)C)OC(C)(C)C(C)(C)O2,273,-131.2172,-28.0382,266.8750,9.8800,-15.0000,3.0106,3.6459
58,CC1(C)O[P-]2(C#N)(C#N)(OC1(C)C)OC(C)(C)C(C)(C)O2,178,-129.2531,-28.3194,269.1300,13.7985,-20.0000,3.1759,3.6382
59,CC1(C)O[P-](F)(F)(F)(O(C))OC1(C)C,102,-145.2990,-34.4077,145.5290,7.1762,-10.5000,3.1666,3.6003
60,FC(F)C1(C(F)F)O[P-](O(C))(O(C))(O(C))(O(C))OC1(C(F)F)C(F)F,260,-125.5699,-28.2892,201.3853,5.7751,-5.0000,2.9417,3.5921
61,CC1(C)O[P-](F)(O(CF))(O(CF))(O(CF))OC1(C)C,173,-153.1801,-27.6852,185.6267,10.2014,-11.5000,2.7815,3.5772
62,FCC1(CF)O[P-](F)(F)(O(C))(O(C))OC1(CF)CF,181,-146.3358,-25.0371,158.3943,8.5748,-6.0000,2.7393,3.5753
